Variable,River,Coorong,Lakes
nH, 1.0000, 0.5950, 0.7000, 1.2500, 0.5600, 0.5600, 0.5600, 0.6500, 0.6800, 0.4400, 0.7000, 0.4300, 0.5300, 0.5950,
nU, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nV, 0.0000, 0.0000, 0.0000, 0.0000,    NaN, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nSAL, 0.1700, 0.3000, 1.4900,35.0000, 1.0200, 1.3000, 1.3000, 0.1700, 0.2600,68.0000,35.0000,28.0000,60.0000, 0.2800,
nTEMP,12.0000,13.0000,14.0000,13.0000,14.0000,14.0000,14.0000,12.0000,12.5000,13.0000,13.0000,14.0000,13.0000,11.5000,
nTRACE_1, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nWQ_TRC_SS11, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nWQ_TRC_RET,39.0000,30.0000,48.7200,11.5000,22.0000,22.5000,10.0000,37.0000,20.0000,11.5000,11.5000,11.5000,11.5000,30.0000,
nWQ_OXY_OXY,310.0000,310.0000,370.0000,225.8000,243.0000,240.0000,280.0000,266.0000,266.0000,160.0000,225.8000,225.8000,225.8000,310.0000,
nWQ_SIL_RSI,300.0000,50.0000,256.0000,100.0000,20.0000,20.0000,20.0000,350.0000,270.0000, 5.0000,50.0000,70.0000,15.0000,50.0000,
nWQ_NIT_AMM, 2.0000, 1.5000, 2.0000, 0.3600, 6.0000, 1.3000, 1.3000, 2.8700, 1.5714, 0.3000, 0.3600, 0.6400, 0.3600, 1.5000,
nWQ_NIT_NIT, 8.0000, 0.4700, 1.5000, 0.3000, 5.0000, 0.9800, 1.0000,15.0000, 3.5000, 0.2500, 1.5000, 0.5000, 0.3000, 0.4700,
nWQ_PHS_FRP, 4.0000, 0.2000, 0.2300, 0.9000, 0.2500, 0.2500, 0.2500, 2.2000, 2.2000, 1.0000, 0.2500, 0.1000, 0.9000, 0.2300,
nWQ_PHS_FRP_ADS, 0.4000, 0.0200, 0.0230, 0.0900, 0.0250, 0.0250, 0.0250, 0.2200, 0.2200, 0.1000, 0.0250, 0.0100, 0.0900, 0.0230,
nWQ_OGM_DOC,538.0000,570.0000,827.0000,817.0000,850.0000,550.0000,550.0000,560.0000,550.0000,817.0000,634.0000,817.0000,817.0000,575.0000,
nWQ_OGM_POC,505.0000,684.0000,934.0000,1240.0000,1240.0000,1050.0000,1050.0000,550.0000,550.0000,2000.0000,250.0000,450.0000,1600.0000,600.0000,
nWQ_OGM_DON,40.0000,61.0000,97.0000,46.0000,60.0000,70.0000,100.0000,28.0000,36.0000,150.0000,32.0000,41.0000,117.0000,81.0000,
nWQ_OGM_PON,40.0000,61.0000,97.0000,27.0000,70.0000,71.0000,108.0000,32.0000,36.0000,150.0000,32.0000,33.0000,117.0000,68.0000,
nWQ_OGM_DOP, 1.3000, 1.3300, 1.8400, 0.6700, 1.5000, 1.5000, 2.5000, 1.0400, 1.1000, 2.5000, 1.0000, 1.1000, 2.4000, 1.8000,
nWQ_OGM_POP, 1.6500, 1.7000, 2.4000, 0.7000, 1.9000, 1.9500, 2.9000, 1.3000, 1.3000, 3.0000, 1.1600, 1.4500, 2.4500, 2.1000,
nWQ_PHY_GRN,56.0000,77.6000,104.0000,25.0000,80.0000,43.0000,56.0000,35.0000,56.0000,300.0000, 5.0000,45.0000,123.0000,77.6000,
